geometry,mesh_size,nb_lines,nb_columns,lat_min,lon_min,lat_max,lon_max
franxl1s100,0.01,1051,1651,41,-6,51.5,10.5
eurw1s100,0.01,1791,2801,37.5,-12,55.4,16
eurw1s40,0.025,717,1121,37.5,-12,55.4,16
glob01,0.1,1801,3600,-90,0,90,359.9
glob0125,0.125,1441,2880,-90,0,90,359.875
glob025,0.25,721,1440,-90,0,90,359.75
glob05,0.5,361,720,-90,0,90,359.5
globd01,0.1,1801,3600,-90,-180,90,179.9
globd0125,0.125,1441,2880,-90,-180,90,179.875
globd025,0.25,721,1440,-90,-180,90,179.75
globd05,0.5,361,720,-90,-180,90,179.5
